City,Latitude,Longitude,Max_Temp,Humidity,Cloudiness,Wind_Speed,Country_Code
ust-maya,59.146910000000005,133.33117000000001,55.22,54,34,7.07,ru
dickinson,47.11703000000001,-102.25398000000001,84.99,62,75,9.17,us
nova olimpia,-14.034860000000002,-58.144420000000004,74.91,32,0,1.59,br
fort wellington,7.017430000000001,-57.14193000000001,78.8,84,99,3.94,gy
karachi,25.062250000000002,67.16683,86,70,40,10.29,pk
guerrero negro,14.034860000000002,-132.32868000000002,76.93,60,0,14.41,mx
witbank,-26.064740000000004,29.072210000000002,53.4,77,59,2.89,za
gimli,52.12948000000001,-96.23904000000002,51.01,99,96,4,ca
ouango,4.00996,22.05478,68.77,97,100,2.33,cf
atar,22.05478,-13.032370000000002,90.54,37,0,8.52,mr
nhulunbuy,-12.029880000000002,138.34362000000002,86,58,40,16.11,au
teya,63.156870000000005,92.22908000000001,59.02,57,100,10.09,ru
palmer,62.15438,-147.36603000000002,48.99,93,1,4.54,us
normandin,50.124500000000005,-73.18177000000001,48.2,70,90,8.05,ca
bambous virieux,-28.069720000000004,78.19422,72,64,75,12.75,mu
baruun-urt,47.11703000000001,112.27888000000002,54.93,51,100,20.49,mn
portree,57.14193000000001,-8.01992,46.99,89,15,3,gb
anadyr,64.15936,177.44073000000003,51.8,71,75,13.42,ru
lamar,39.09711,-103.25647000000001,75.2,78,75,8.05,us
seddon,-42.104580000000006,174.43326000000002,71.01,42,100,18.34,nz
erenhot,43.10707000000001,109.27141000000002,56.1,48,23,22.03,cn
lorengau,0.0,144.35856,86.18,69,100,13.47,pg
malatya,38.094620000000006,38.094620000000006,55.4,58,0,6.44,tr
sao joaquim,-28.069720000000004,-50.124500000000005,51.12,98,100,4.05,br
marquette,47.11703000000001,-86.21414000000001,62.01,88,37,4.68,us
almeirim,-1.00249,-53.13197,79.66,63,31,5.19,br
fairbanks,67.16683,-143.35607000000002,60.8,44,40,4.7,us
mehamn,80.1992,28.069720000000004,44.6,93,75,4.7,no
vallenar,-27.067230000000002,-74.18426000000001,53.94,69,0,0.65,cl
ahuimanu,30.074700000000004,-154.38346,84.2,65,20,10.29,us
harper,1.00249,-9.02241,74.97,88,94,8.84,lr
sao jose da coroa grande,-12.029880000000002,-28.069720000000004,74.05,86,11,11.95,br
ketchikan,51.126990000000006,-134.33366,60.8,59,1,3.36,us
zhigansk,67.16683,123.30627000000001,50.72,59,0,7.92,ru
grenaa,56.13944000000001,11.02739,53.6,93,0,6.93,dk
prince george,54.134460000000004,-122.30378000000002,46,87,1,0.81,ca
carmen,20.0498,-92.22908000000001,80.96,84,100,5.73,mx
lubango,-14.034860000000002,13.032370000000002,57.51,36,0,5.41,ao
liseleje,56.13944000000001,12.029880000000002,60.01,94,2,9.78,dk
zabaykalsk,47.11703000000001,116.28884000000001,56.84,44,100,27.27,ru
kumeny,58.144420000000004,50.124500000000005,44.92,94,96,14.14,ru
marovoay,-17.042330000000003,46.114540000000005,73.4,60,20,11.41,mg
japura,-2.00498,-69.17181000000001,89.73,57,92,4.23,br
valdivia,-40.0996,-74.18426000000001,50,100,90,2.24,cl
massakory,13.032370000000002,16.03984,77.4,74,23,5.88,td
praia,13.032370000000002,-22.05478,78.51,84,37,7.29,cv
bria,7.017430000000001,22.05478,68.68,97,100,3.49,cf
wladyslawowo,56.13944000000001,19.047310000000003,64,82,55,4.7,pl
deputatskiy,75.18675,142.35358000000002,43.57,69,94,2.42,ru
solenzo,12.029880000000002,-4.00996,75.92,83,0,7.09,bf
porto seguro,-17.042330000000003,-38.094620000000006,75.2,78,40,6.93,br
road town,23.057270000000003,-65.16185,82.99,86,13,5.99,vg
shitanjing,40.0996,105.26145000000001,61.66,29,45,4.47,cn
aktash,50.124500000000005,87.21663000000001,48.16,50,100,4.79,ru
atlantic city,37.092130000000004,-73.18177000000001,60.01,81,1,4.88,us
kribi,3.0074700000000005,10.0249,74.8,91,65,9.73,cm
surt,31.07719,16.03984,76.12,78,19,6.96,ly
beringovskiy,55.136950000000006,175.43575,47.91,87,100,9.64,ru
muncar,-10.0249,114.28386000000002,84.85,55,88,7.29,id
wanaka,-42.104580000000006,167.41583000000003,49.87,66,56,11.05,nz
san quintin,25.062250000000002,-121.30129000000001,76.98,54,0,7.2,mx
kabinda,-6.014940000000001,24.059760000000004,68.2,87,24,2.71,cd
sungairaya,0.0,108.26892000000001,82.51,73,70,7.34,id
nishihara,19.047310000000003,134.33366,87.8,79,75,12.75,jp
ngunguru,-30.074700000000004,179.44571000000002,64.99,44,9,14,nz
sampit,-2.00498,112.27888000000002,92.3,38,34,4.99,id
millinocket,46.114540000000005,-69.17181000000001,50,76,90,0.49,us
buraydah,27.067230000000002,44.10956,80.6,28,0,5.82,sa
fort-shevchenko,45.11205,50.124500000000005,69.75,56,25,19.15,kz
