City,Latitude,Longitude,Max_Temp,Humidity,Cloudiness,Wind_Speed,Country_Code,Date
kabinda,-6.014940000000001,24.059760000000004,70,85,43,2.82,cd,1600315600
charters towers,-22.05478,143.35607000000002,83.89,43,41,17.49,au,1600315600
kieta,-3.0074700000000005,157.39093000000003,84.16,77,76,8.16,pg,1600315601
cracow,50.124500000000005,20.0498,62.6,77,90,4.7,pl,1600315601
resistencia,-27.067230000000002,-59.146910000000005,61,93,0,3.36,ar,1600315601
beira,-21.052290000000003,36.08964,69.8,100,90,4.54,mz,1600315601
koslan,65.16185,49.12201,37.9,85,52,3.33,ru,1600315601
grandview,45.11205,-120.29880000000001,72,83,1,4.18,us,1600315485
sao filipe,12.029880000000002,-37.092130000000004,80.04,83,30,1.28,cv,1600315602
hambantota,-2.00498,83.20667,86,74,40,12.75,lk,1600315602
impfondo,1.00249,18.04482,70.45,98,75,2.75,cg,1600315602
tarakan,3.0074700000000005,118.29382000000001,81.57,73,100,12.35,id,1600315602
saint-michel-des-saints,47.11703000000001,-74.18426000000001,47.66,94,91,6.51,ca,1600315603
dingle,50.124500000000005,-12.029880000000002,82.74,82,100,9.28,ie,1600315603
maldonado,-36.08964,-54.134460000000004,51.8,93,90,4.7,uy,1600315603
andujar,38.094620000000006,-4.00996,75.99,48,98,2.13,es,1600315603
kloulklubed,7.017430000000001,133.33117000000001,84.2,79,75,5.82,pw,1600315603
ilulissat,88.21912,-40.0996,33.8,86,100,9.17,gl,1600315567
galle,5.01245,79.19671000000001,81.97,81,48,12.73,lk,1600315360
berlevag,88.21912,33.082170000000005,42.8,81,40,10.29,no,1600315604
taksimo,56.13944000000001,114.28386000000002,56.3,55,41,2.17,ru,1600315374
kruisfontein,-47.11703000000001,26.064740000000004,53.01,74,0,6.76,za,1600315604
